TreeID,DBH,PlotSize,Latitude,Longitude,species
22346.0,3.0,3x3,37.803046726686894,-122.42506362870199,Platanus
23567.0,12.0,3x4,37.7374318223223,-122.384063092353,Lophostemon
10933.0,3.0,3x3,37.788757908594896,-122.442978542939,Magnolia
28375.0,3.0,3x3,37.7709543699737,-122.420355751511,other
17325.0,12.0,3x3,37.777052715887706,-122.428697236196,Platanus
25725.0,24.0,3x3,37.7828532389184,-122.428176124144,other
6251.0,1.0,other,37.7579627654961,-122.421110461684,other
9895.0,14.0,other,37.7895026155894,-122.4361187581,other
220007.0,7.0,other,37.7615653191939,-122.42167583577299,Lophostemon
18916.0,18.0,3x3,37.7817583075946,-122.437768878541,Metrosideros
228561.0,3.0,3x3,37.7605442750604,-122.50693272862101,other
6337.0,3.0,3x3,37.7134297247264,-122.46265023824101,other
832.0,3.0,3x3,37.760450947142786,-122.507135818078,other
26071.0,3.0,3x3,37.7607233666377,-122.50709148147499,other
11606.0,8.0,3x3,37.7813844410266,-122.43311045884899,Pittosporum
24532.0,3.0,other,37.7607163481902,-122.506944712409,Tristaniopsis
5972.0,3.0,4x4,37.7865157709252,-122.43054034167,Prunus
830.0,3.0,3x3,37.7132339790874,-122.460559423837,Tristaniopsis
21682.0,3.0,3x3,37.760550193841404,-122.505003612665,other
29943.0,19.0,other,37.7115804269636,-122.470973377029,Metrosideros
11582.0,12.0,3x3,37.7880667103656,-122.432237297056,other
175044.0,3.0,3x3,37.772381016672895,-122.45133412385,Lophostemon
17881.0,65.0,3x3,37.789124975971106,-122.431429279776,Platanus
24515.0,3.0,other,37.742858080169505,-122.47800774412599,other
2985.0,126.0,3x3,37.7911641319684,-122.42577893234899,Ficus
182083.0,3.0,3x3,37.7425539090053,-122.48492886712098,Prunus
9914.0,15.0,4x4,37.76296061691321,-122.41938599878401,Ficus
93463.0,15.0,other,37.7860784126894,-122.43386429175101,Ficus
15429.0,3.0,3x3,37.7881014522033,-122.420267712778,Magnolia
138359.0,11.0,other,37.787752342886,-122.434736117903,other
103786.0,18.0,4x4,37.789687756343604,-122.401085198325,Platanus
138805.0,3.0,3x3,37.7790770280177,-122.43632769328998,Pittosporum
138800.0,12.0,3x3,37.7875549020514,-122.429951242636,other
11423.0,25.0,3x3,37.7901773571486,-122.42460238530501,Platanus
13622.0,3.0,3x3,37.774381702191896,-122.437783152308,Pyrus
26932.0,1.0,other,37.7562473553988,-122.485133888104,other
2654.0,35.0,4x4,37.7607799675436,-122.504955867812,Metrosideros
2928.0,12.0,3x3,37.7795222347306,-122.43282272297,other
24634.0,10.0,other,37.795216821545786,-122.42348685993299,other
182864.0,12.0,3x3,37.7806825946662,-122.42259863641199,Lophostemon
818.0,1.0,other,37.7644435373721,-122.426516892666,Magnolia
9598.0,3.0,3x3,37.791212266380896,-122.424102272302,Lophostemon
10157.0,16.0,3x3,37.7870250535005,-122.449325021743,Platanus
129605.0,4.0,other,37.77495474924589,-122.42400197393101,Pyrus
9421.0,24.0,other,37.7697596664942,-122.408814503513,other
18021.0,60.0,3x3,37.7732947980524,-122.446066856713,other
230412.0,6.0,other,37.7753793775331,-122.42408895277501,Prunus
7957.0,35.0,4x4,37.788420242855395,-122.402663664993,Platanus
3139.0,6.0,other,37.7602513890079,-122.421343931093,Lophostemon
244346.0,40.0,4x4,37.7830015179357,-122.40945995866699,Platanus
191854.0,6.0,3x3,37.76628857028821,-122.421912561635,Lophostemon
14553.0,39.0,other,37.7439474344515,-122.494773601416,other
244298.0,7.0,other,37.7613944596986,-122.42144325851002,Platanus
13664.0,6.0,3x3,37.786481285230295,-122.44577068023099,Prunus
229175.0,12.0,3x3,37.7877828069853,-122.443417371621,Platanus
13824.0,2.0,other,37.7603080570896,-122.42134802750601,Lophostemon
22941.0,17.0,other,37.7868155327596,-122.428183141793,Ficus
187139.0,70.0,3x3,37.795933702633796,-122.418319444503,Ficus
235603.0,7.0,other,37.7614467741619,-122.42165396877701,Lophostemon
18096.0,3.0,4x4,37.8035522695821,-122.407659361785,other
3092.0,10.0,3x3,37.7881565558045,-122.431374278321,other
229176.0,12.0,4x4,37.781778865529105,-122.411040866943,Platanus
138112.0,5.0,other,37.7603841541343,-122.42135109956699,Lophostemon
11057.0,7.0,other,37.7608256474983,-122.42161335716801,Platanus
228559.0,5.0,other,37.7763932439775,-122.417875241075,Platanus
13004.0,20.0,3x3,37.74967287242389,-122.42054965793899,Lophostemon
17856.0,24.0,3x3,37.7886348840283,-122.442962190565,other
13887.0,1.0,other,37.7341669595219,-122.390696529464,Magnolia
229177.0,3.0,3x3,37.76980724742621,-122.449023538308,Lophostemon
13971.0,12.0,4x4,37.7761666587056,-122.418155844592,Platanus
236222.0,10.0,other,37.7762874795996,-122.41816956622401,Platanus
6932.0,10.0,other,37.7762874795996,-122.41816956622401,Platanus
200971.0,6.0,3x3,37.7722678019432,-122.417965767207,other
200966.0,12.0,4x4,37.775991697649104,-122.418387229062,Platanus
23112.0,18.0,other,37.8001180187875,-122.446524108406,Platanus
18999.0,3.0,other,37.8032356306012,-122.414254658567,Lophostemon
200701.0,3.0,4x4,37.7765435284866,-122.438227828795,Platanus
10470.0,12.0,3x3,37.790356315029996,-122.429371791378,other
14079.0,3.0,3x3,37.73968449502721,-122.385851388433,Magnolia
200973.0,20.0,4x4,37.7894242082171,-122.40137272597799,Platanus
200974.0,7.0,other,37.7667866624906,-122.415553715331,other
85529.0,18.0,3x3,37.7756854149614,-122.415665767345,Ficus
14085.0,7.0,other,37.7569687331323,-122.442678332141,other
